id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
120928,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-08,Israel strikes on Gaza kill 13, wound at least 90""",Agence France Presse,2014-07-08,"Israel strikes on Gaza kill 13, wound at least 90",Palestinian medical sources,1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,07/08/2014 00:00:00,07/08/2014 00:00:00,0,0,0,2,2,2,2,
120930,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Agence France Presse,2014-07-08,Army kills Gaza militants entering Israel by sea: source"";""Agence France Presse,2014-07-08,Israel strikes on Gaza kill 15, wound around 100""",Agence France Presse;Agence France Presse,2014-07-08;2014-07-08,"Army kills Gaza militants entering Israel by sea: source;Israel strikes on Gaza kill 15, wound around 100","Israeli army, Hamas sources",2,Zikim kibbutz,,Southern district,Ashkelon,31.607900,34.521797,POINT (34.521797 31.607900),175390,Israel,666,Middle East,1,1,07/08/2014 00:00:00,07/08/2014 00:00:00,0,4,0,0,4,4,4,
120931,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-08,Israel strikes on Gaza kill 15, wound around 100""",Agence France Presse,2014-07-08,"Israel strikes on Gaza kill 15, wound around 100",Palestinian medical sources,1,Beit Lahiya town,,Gaza Strip,Gaza ash Shamaliyah,31.546397,34.495142,POINT (34.495142 31.546397),175389,Israel,666,Middle East,1,1,07/08/2014 00:00:00,07/08/2014 00:00:00,0,0,0,1,1,1,1,
120932,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-08,Israel strikes on Gaza kill 15, wound around 100""",Agence France Presse,2014-07-08,"Israel strikes on Gaza kill 15, wound around 100",Palestinian medical sources,2,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,07/08/2014 00:00:00,07/08/2014 00:00:00,0,0,0,1,1,1,1,
120933,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Agence France Presse,2014-07-08,Israel strikes on Gaza kill 17, wound more than 100"";""Agence France Presse,2014-07-08,Israel, Hamas face off in new Gaza conflict""",Agence France Presse;Agence France Presse,2014-07-08;2014-07-08,"Israel strikes on Gaza kill 17, wound more than 100;Israel, Hamas face off in new Gaza conflict","Palestinian medical sources, witnesses",1,Deir al-Balah town,,Gaza Strip,Deir al-Balah,31.417479,34.350140,POINT (34.350140 31.417479),174669,Israel,666,Middle East,1,1,07/08/2014 00:00:00,07/08/2014 00:00:00,0,0,0,1,1,1,1,
120934,,2014,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,2,"""Agence France Presse,2014-07-08,Israel, Hamas face off in new Gaza conflict"";""Agence France Presse,2014-07-08,Israel Gaza campaign kills 28, wounds more than 150""",Agence France Presse;Agence France Presse,2014-07-08;2014-07-08,"Israel, Hamas face off in new Gaza conflict;Israel Gaza campaign kills 28, wounds more than 150",Palestinian medical sources,1,Beit Hanoun town,,Gaza Strip,Gaza ash Shamaliyah,31.535298,34.535787,POINT (34.535787 31.535298),175390,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,0,6,6,6,6,
120935,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-08,Israel Gaza campaign kills 28, wounds more than 150""",Agence France Presse,2014-07-08,"Israel Gaza campaign kills 28, wounds more than 150",Palestinian medical sources,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,0,1,1,1,1,
120956,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach""",Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach,Palestinian medical sources,2,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,0,3,3,3,3,
120957,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach"";""B'Tselem,2014-08-11,Families bombed at home, Gaza, July-August 2014 (initial figures)""",Agence France Presse;B'Tselem,2014-07-09;2014-08-11,"Israel pounds Gaza as Hamas flexes rocket reach;Families bombed at home, Gaza, July-August 2014 (initial figures)",Palestinian medical sources,2,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,2,1,3,3,3,
120958,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,2,"""Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach"";""Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach""",Agence France Presse;Agence France Presse,2014-07-09;2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach;Israel pounds Gaza as Hamas flexes rocket reach,Palestinian medical sources,1,Khan Younis town,,Gaza Strip,Khan Younis,31.344444,34.303056,POINT (34.303056 31.344444),174669,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,0,6,6,6,6,
120959,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach""",Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach,Palestinian medical sources,1,Maghazi refugee camp,,Gaza Strip,Deir al-Balah,31.421358,34.385375,POINT (34.385375 31.421358),174669,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,5,0,5,5,5,
120960,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach""",Agence France Presse,2014-07-09,Israel pounds Gaza as Hamas flexes rocket reach,Israeli army,2,Zikim kibbutz,,Southern district,Ashkelon,31.607900,34.521797,POINT (34.521797 31.607900),175390,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,2,0,0,2,2,2,
120962,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-09,Israel air strikes kill seven in southern Gaza: medics""",Agence France Presse,2014-07-09,Israel air strikes kill seven in southern Gaza: medics,Palestinian medical sources,1,Nuseirat refugee camp,,Gaza Strip,Deir al-Balah,31.447656,34.392875,POINT (34.392875 31.447656),174669,Israel,666,Middle East,1,1,07/09/2014 00:00:00,07/09/2014 00:00:00,0,0,0,1,1,1,1,
120963,,2014,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,1,"""BBC Monitoring Middle East,2014-07-10,Israel intercepts five rockets over Tel Aviv""",BBC Monitoring Middle East,2014-07-10,Israel intercepts five rockets over Tel Aviv,"Palestinian medical sources, IDF",4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,1,1,07/10/2014 00:00:00,07/10/2014 00:00:00,0,3,0,0,3,3,3,
120964,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""BBC Monitoring Middle East,2014-07-10,Israeli war planes continuing raids all over Gaza Strip - reports""",BBC Monitoring Middle East,2014-07-10,Israeli war planes continuing raids all over Gaza Strip - reports,Palestinian medical sources,4,Gaza Strip,,Gaza Strip,,31.425074,34.373398,POINT (34.373398 31.425074),174669,Israel,666,Middle East,1,1,07/10/2014 00:00:00,07/10/2014 00:00:00,0,0,0,1,1,1,1,
120965,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""BBC Monitoring Middle East,2014-07-10,Israeli war planes continuing raids all over Gaza Strip - reports""",BBC Monitoring Middle East,2014-07-10,Israeli war planes continuing raids all over Gaza Strip - reports,Palestinian medical sources,3,Gaza ash Shamaliyah,,Gaza Strip,Gaza ash Shamaliyah,31.550000,34.500000,POINT (34.500000 31.550000),175390,Israel,666,Middle East,1,1,07/10/2014 00:00:00,07/10/2014 00:00:00,0,0,0,1,1,1,1,
121023,,2014,True,Clear,1,234,234,Israel: Palestine,478,478,Government of Israel - PIJ,121,121,Government of Israel,208,208,PIJ,4,"""Agence France Presse,2014-07-11,Israeli air strikes kill six in Gaza: medics"";""BBC Monitoring Middle East,2014-07-11,Rockets continue to be fired from Gaza into Israel 11 July"";""BBC Monitoring Middle East,2014-07-11,Eight Palestinians killed in Israeli raids 11 July, death toll reaches 98"";""B'Tselem,2014-08-11,Families bombed at home, Gaza, July-August 2014 (initial figures)""",Agence France Presse;BBC Monitoring Middle East;BBC Monitoring Middle East;B'Tselem,2014-07-11;2014-07-11;2014-07-11;2014-08-11,"Israeli air strikes kill six in Gaza: medics;Rockets continue to be fired from Gaza into Israel 11 July;Eight Palestinians killed in Israeli raids 11 July, death toll reaches 98;Families bombed at home, Gaza, July-August 2014 (initial figures)",Palestinian medical sources,1,Rafah town,,Gaza Strip,Rafah,31.287004,34.259525,POINT (34.259525 31.287004),174669,Israel,666,Middle East,1,1,07/11/2014 00:00:00,07/11/2014 00:00:00,0,1,0,4,5,15,5,
121024,,2014,True,Clear,1,234,234,Israel: Palestine,477,477,Government of Israel - Hamas,121,121,Government of Israel,209,209,Hamas,1,"""Agence France Presse,2014-07-11,Israeli air strikes kill six in Gaza: medics""",Agence France Presse,2014-07-11,Israeli air strikes kill six in Gaza: medics,Palestinian medical sources,1,Gaza town,,Gaza Strip,Gaza,31.516667,34.450000,POINT (34.450000 31.516667),175389,Israel,666,Middle East,1,1,07/11/2014 00:00:00,07/11/2014 00:00:00,0,0,0,1,1,1,1,
